epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3978,2.37625,8.191,1.88454,0.00051,0.2,0.00098,0.00023,2.04868,5.27371,1.67624,0.00014443,0.00014443,0.00014443
2,17.2238,1.60762,6.14284,1.35999,0.05013,0.304,0.23068,0.14132,1.25411,4.41695,1.07991,0.000299937,0.000299937,0.000299937
3,23.0468,1.42781,5.37313,1.29707,0.01334,0.416,0.27686,0.14499,1.12033,4.30204,1.03806,0.000455312,0.000455312,0.000455312
4,29.4353,1.34445,4.74663,1.19663,0.00883,0.384,0.31607,0.18736,1.16545,4.09496,0.98805,0.000610453,0.000610453,0.000610453
5,36.6521,1.29163,3.98441,1.19216,0.00831,0.64533,0.34978,0.1926,1.29755,4.03188,1.06572,0.000765259,0.000765259,0.000765259
6,44.2581,1.24116,3.6265,1.14048,0.01025,0.976,0.85012,0.49626,1.22957,3.75696,1.09156,0.000919629,0.000919629,0.000919629
7,51.2504,1.26553,3.67097,1.19633,0.98021,0.1752,0.9082,0.62163,1.17532,3.32063,1.06303,0.00107346,0.00107346,0.00107346
8,57.3968,1.25523,3.66999,1.14996,0.83451,0.69691,0.88433,0.53238,1.33106,2.97419,1.17044,0.0011051,0.0011051,0.0011051
9,63.5254,1.24612,3.4327,1.15265,0.75026,0.66317,0.85562,0.60294,1.19016,2.60827,0.99914,0.0011033,0.0011033,0.0011033
10,69.6289,1.17121,3.48015,1.09671,0.77787,0.86368,0.90757,0.63917,1.24398,2.35801,1.01431,0.00110126,0.00110126,0.00110126
11,75.3421,1.15039,3.09866,1.08749,0.85352,0.87491,0.95956,0.67519,1.12563,1.63779,1.03929,0.00109898,0.00109898,0.00109898
12,81.1755,1.08875,2.82066,1.08425,0.77124,0.90775,0.92879,0.61068,1.11294,1.45214,1.07965,0.00109647,0.00109647,0.00109647
13,86.8913,1.13305,2.70535,1.06139,0.92633,0.91169,0.96691,0.62233,1.08546,1.24549,1.06766,0.00109372,0.00109372,0.00109372
14,92.5906,1.10624,2.5619,1.08419,0.77204,0.94553,0.94429,0.67054,1.00709,1.3069,1.04731,0.00109074,0.00109074,0.00109074
15,98.1046,1.11507,2.54994,1.06655,0.92252,0.90726,0.95986,0.66699,1.10751,1.16894,0.99065,0.00108753,0.00108753,0.00108753
16,103.773,1.09162,2.76737,1.05754,0.87809,0.96588,0.95925,0.69842,1.00293,1.21339,1.00212,0.00108408,0.00108408,0.00108408
17,110.239,1.05355,2.37583,1.0521,0.91804,0.93617,0.97581,0.66949,1.1067,1.06936,0.98881,0.00108041,0.00108041,0.00108041
18,117.171,1.04141,2.25557,1.03807,0.94813,0.992,0.99414,0.75216,0.98029,0.85166,0.96257,0.00107651,0.00107651,0.00107651
19,123.726,1.04821,2.22764,1.0398,0.88257,0.99435,0.995,0.73178,0.95133,0.84491,0.90247,0.00107238,0.00107238,0.00107238
20,130.109,1.03036,2.25747,1.01594,0.88188,0.99123,0.98977,0.74905,0.98352,0.76226,0.93985,0.00106803,0.00106803,0.00106803
21,135.873,0.97408,2.18651,1.02243,0.91717,0.95444,0.99381,0.73784,0.96557,0.75994,1.02306,0.00106345,0.00106345,0.00106345
22,141.628,0.92818,2.08579,0.98303,0.93003,0.96138,0.99315,0.75284,0.9145,0.80227,0.90076,0.00105866,0.00105866,0.00105866
23,147.366,0.95566,2.12085,0.97179,0.92809,0.99632,0.995,0.7441,0.90825,0.7114,0.9324,0.00105365,0.00105365,0.00105365
24,153.085,0.96779,1.99572,0.9785,0.94709,0.95424,0.99317,0.73821,0.96625,0.75267,0.93704,0.00104842,0.00104842,0.00104842
25,158.794,0.96555,1.81126,0.97443,0.93977,0.98932,0.995,0.7773,0.88473,0.69478,0.96884,0.00104298,0.00104298,0.00104298
26,164.435,1.00033,1.92503,0.98979,0.90559,0.96,0.98616,0.76977,0.90719,0.71048,0.95327,0.00103732,0.00103732,0.00103732
27,169.909,0.98925,1.77984,0.98136,0.94892,0.97082,0.9935,0.73035,0.97155,0.73747,0.97315,0.00103146,0.00103146,0.00103146
28,175.363,0.981,1.80396,0.99007,0.94801,0.95395,0.99322,0.73903,0.96384,0.6744,0.95041,0.00102539,0.00102539,0.00102539
29,180.796,0.921,1.65231,0.94912,0.89218,0.91215,0.95167,0.67895,0.96791,0.90577,0.94633,0.00101912,0.00101912,0.00101912
30,186.291,0.98543,1.77308,0.97226,0.93028,0.97787,0.99441,0.74023,0.88772,0.6826,0.9435,0.00101264,0.00101264,0.00101264
31,191.763,0.92205,1.68357,0.9448,0.94923,0.97464,0.99167,0.72373,0.87397,0.68096,0.93653,0.00100597,0.00100597,0.00100597
32,197.172,0.88625,1.55211,0.9527,0.91584,0.97493,0.99157,0.70134,0.88235,0.75432,0.94877,0.000999103,0.000999103,0.000999103
33,202.645,0.93911,1.57406,0.96176,0.96627,0.992,0.99469,0.73317,0.95075,0.70145,0.97649,0.000992043,0.000992043,0.000992043
34,208.08,0.88428,1.4342,0.94716,0.95675,0.9803,0.99469,0.74385,0.88275,0.70146,0.97098,0.000984795,0.000984795,0.000984795
35,213.487,0.90135,1.52287,0.96259,0.94396,0.9913,0.99256,0.72024,0.93852,0.72061,0.99393,0.000977361,0.000977361,0.000977361
36,218.928,0.89097,1.43386,0.95443,0.94649,0.99938,0.99322,0.74841,0.91022,0.68721,0.97541,0.000969744,0.000969744,0.000969744
37,225.094,0.96353,1.5046,0.96663,0.93376,0.98507,0.99469,0.7672,0.93799,0.68142,0.98448,0.000961948,0.000961948,0.000961948
